record_no	exploratory	EP_PlotID	plant_genus	plant_species	no_inflorescences	inflorescences_qcm	sub_plot	survey	date	last_mowing
754	SchwaebischeAlb	AEG37			0	0	realistic	1	7/3/2008 12:00:00 AM	
755	SchwaebischeAlb	AEG37	Cerastium	Cerastium holosteoides	3	1	managed	1	7/3/2008 12:00:00 AM	
756	SchwaebischeAlb	AEG37	Crepis	Crepis biennis	3	6	managed	1	7/3/2008 12:00:00 AM	
757	SchwaebischeAlb	AEG37	Crepis	Crepis biennis	18	36	succession	1	7/3/2008 12:00:00 AM	
758	SchwaebischeAlb	AEG37	Galium	Galium mollugo agg.	60	7	managed	1	7/3/2008 12:00:00 AM	
759	SchwaebischeAlb	AEG37	Galium	Galium mollugo agg.	30	3	succession	1	7/3/2008 12:00:00 AM	
760	SchwaebischeAlb	AEG37	Ranunculus	Ranunculus acris	6	6	succession	1	7/3/2008 12:00:00 AM	
761	SchwaebischeAlb	AEG37	Trifolium	Trifolium pratense	16	32	managed	1	7/3/2008 12:00:00 AM	
762	SchwaebischeAlb	AEG37	Trifolium	Trifolium pratense	6	12	succession	1	7/3/2008 12:00:00 AM	
763	SchwaebischeAlb	AEG37	Trifolium	Trifolium repens	105	210	managed	1	7/3/2008 12:00:00 AM	
764	SchwaebischeAlb	AEG37	Trifolium	Trifolium repens	22	44	succession	1	7/3/2008 12:00:00 AM	
765	SchwaebischeAlb	AEG37	Vicia	Vicia sepium	3	3	managed	1	7/3/2008 12:00:00 AM	
766	SchwaebischeAlb	AEG37	Vicia	Vicia sepium	3	3	succession	1	7/3/2008 12:00:00 AM	
767	SchwaebischeAlb	AEG37	Galium	Galium mollugo agg.	1100	122	managed	2	8/9/2008 12:00:00 AM	7/3/2008
768	SchwaebischeAlb	AEG37	Galium	Galium mollugo agg.	1450	161	realistic	2	8/9/2008 12:00:00 AM	
769	SchwaebischeAlb	AEG37	Galium	Galium mollugo agg.	2000	222	succession	2	8/9/2008 12:00:00 AM	
770	SchwaebischeAlb	AEG37	Trifolium	Trifolium pratense	13	26	managed	2	8/9/2008 12:00:00 AM	7/3/2008
771	SchwaebischeAlb	AEG37	Trifolium	Trifolium pratense	28	56	realistic	2	8/9/2008 12:00:00 AM	
772	SchwaebischeAlb	AEG37	Trifolium	Trifolium pratense	15	30	succession	2	8/9/2008 12:00:00 AM	
773	SchwaebischeAlb	AEG37	Trifolium	Trifolium repens	1	2	managed	2	8/9/2008 12:00:00 AM	7/3/2008
774	SchwaebischeAlb	AEG37	Vicia	Vicia sepium	3	3	managed	2	8/9/2008 12:00:00 AM	7/3/2008
775	SchwaebischeAlb	AEG37	Vicia	Vicia sepium	5	5	realistic	2	8/9/2008 12:00:00 AM	
776	SchwaebischeAlb	AEG37	Vicia	Vicia sepium	6	6	succession	2	8/9/2008 12:00:00 AM	
777	SchwaebischeAlb	AEG38	Cerastium	Cerastium holosteoides	45	9	managed	1	7/4/2008 12:00:00 AM	
778	SchwaebischeAlb	AEG38	Cerastium	Cerastium holosteoides	25	5	succession	1	7/4/2008 12:00:00 AM	
779	SchwaebischeAlb	AEG38	Galium	Galium mollugo agg.	120	13	managed	1	7/4/2008 12:00:00 AM	
780	SchwaebischeAlb	AEG38	Galium	Galium mollugo agg.	25	3	succession	1	7/4/2008 12:00:00 AM	
781	SchwaebischeAlb	AEG38	Galium	Galium mollugo agg.	10	1	succession	1	7/4/2008 12:00:00 AM	
782	SchwaebischeAlb	AEG38	Trifolium	Trifolium pratense	1	2	succession	1	7/4/2008 12:00:00 AM	
783	SchwaebischeAlb	AEG38	Trifolium	Trifolium repens	3	6	realistic	1	7/4/2008 12:00:00 AM	
784	SchwaebischeAlb	AEG38	Galium	Galium mollugo agg.	2300	256	managed	2	8/17/2008 12:00:00 AM	7/5/2008
785	SchwaebischeAlb	AEG38	Galium	Galium mollugo agg.	150	17	realistic	2	8/17/2008 12:00:00 AM	
786	SchwaebischeAlb	AEG38	Galium	Galium mollugo agg.	105	12	succession	2	8/17/2008 12:00:00 AM	
787	SchwaebischeAlb	AEG38	Plantago	Plantago lanceolata	110	220	managed	2	8/17/2008 12:00:00 AM	7/5/2008
788	SchwaebischeAlb	AEG38	Plantago	Plantago lanceolata	22	44	realistic	2	8/17/2008 12:00:00 AM	
789	SchwaebischeAlb	AEG38	Plantago	Plantago lanceolata	35	70	succession	2	8/17/2008 12:00:00 AM	
790	SchwaebischeAlb	AEG38	Trifolium	Trifolium pratense	14	28	managed	2	8/17/2008 12:00:00 AM	7/5/2008
791	SchwaebischeAlb	AEG38	Trifolium	Trifolium pratense	23	46	realistic	2	8/17/2008 12:00:00 AM	
792	SchwaebischeAlb	AEG38	Trifolium	Trifolium repens	2	4	managed	2	8/17/2008 12:00:00 AM	7/5/2008
793	SchwaebischeAlb	AEG38	Galium	Galium mollugo agg.	30	3	managed	3	9/12/2008 12:00:00 AM	8/18/2008
794	SchwaebischeAlb	AEG38	Galium	Galium mollugo agg.	60	7	succession	3	9/12/2008 12:00:00 AM	
795	SchwaebischeAlb	AEG38	Plantago	Plantago lanceolata	44	88	managed	3	9/12/2008 12:00:00 AM	8/18/2008
796	SchwaebischeAlb	AEG38	Plantago	Plantago lanceolata	2	4	realistic	3	9/12/2008 12:00:00 AM	
797	SchwaebischeAlb	AEG38	Plantago	Plantago lanceolata	13	26	succession	3	9/12/2008 12:00:00 AM	
798	SchwaebischeAlb	AEG38	Trifolium	Trifolium pratense	1	2	realistic	3	9/12/2008 12:00:00 AM	
799	SchwaebischeAlb	AEG38	Trifolium	Trifolium repens	5	10	managed	3	9/12/2008 12:00:00 AM	8/18/2008
800	SchwaebischeAlb	AEG39			0	0	realistic	1	7/1/2008 12:00:00 AM	
801	SchwaebischeAlb	AEG39	Ranunculus	Ranunculus acris	2	2	succession	1	7/1/2008 12:00:00 AM	
802	SchwaebischeAlb	AEG39	Trifolium	Trifolium repens	3	6	managed	1	7/1/2008 12:00:00 AM	
803	SchwaebischeAlb	AEG39	Trifolium	Trifolium repens	4	8	succession	1	7/1/2008 12:00:00 AM	
804	SchwaebischeAlb	AEG39	Heracleum	Heracleum sphondylium	100	11	managed	2	8/8/2008 12:00:00 AM	7/1/2008
805	SchwaebischeAlb	AEG39	Heracleum	Heracleum sphondylium	300	33	realistic	2	8/8/2008 12:00:00 AM	
806	SchwaebischeAlb	AEG39	Heracleum	Heracleum sphondylium	50	6	succession	2	8/8/2008 12:00:00 AM	
807	SchwaebischeAlb	AEG39	Lamium	Lamium album	9	9	realistic	2	8/8/2008 12:00:00 AM	
808	SchwaebischeAlb	AEG39	Vicia	Vicia sepium	2	1	realistic	2	8/8/2008 12:00:00 AM	
809	SchwaebischeAlb	AEG4	Galium	Galium mollugo agg.	15	2	succession	1	7/1/2008 12:00:00 AM	
810	SchwaebischeAlb	AEG4	Ranunculus	Ranunculus repens	3	3	managed	1	7/1/2008 12:00:00 AM	
811	SchwaebischeAlb	AEG4	Ranunculus	Ranunculus repens	2	4	succession	1	7/1/2008 12:00:00 AM	
812	SchwaebischeAlb	AEG4	Vicia	Vicia sepium	4	4	managed	1	7/1/2008 12:00:00 AM	
813	SchwaebischeAlb	AEG4	Vicia	Vicia sepium	4	4	realistic	1	7/1/2008 12:00:00 AM	
814	SchwaebischeAlb	AEG4	Vicia	Vicia sepium	4	4	succession	1	7/1/2008 12:00:00 AM	
815	SchwaebischeAlb	AEG4	Galium	Galium mollugo agg.	240	27	managed	2	8/8/2008 12:00:00 AM	7/2/2008
816	SchwaebischeAlb	AEG4	Galium	Galium mollugo agg.	14	2	realistic	2	8/8/2008 12:00:00 AM	
817	SchwaebischeAlb	AEG4	Galium	Galium mollugo agg.	810	90	succession	2	8/8/2008 12:00:00 AM	
818	SchwaebischeAlb	AEG4	Geranium	Geranium pratense	3	12	realistic	2	8/8/2008 12:00:00 AM	
819	SchwaebischeAlb	AEG4	Trifolium	Trifolium pratense	1	2	managed	2	8/8/2008 12:00:00 AM	7/2/2008
820	SchwaebischeAlb	AEG4	Trifolium	Trifolium repens	1	2	managed	2	8/8/2008 12:00:00 AM	7/2/2008
821	SchwaebischeAlb	AEG41	Galium	Galium mollugo agg.	6	1	managed	1	7/5/2008 12:00:00 AM	2 weeks ago
822	SchwaebischeAlb	AEG41	Trifolium	Trifolium pratense	2	4	managed	1	7/5/2008 12:00:00 AM	2 weeks ago
823	SchwaebischeAlb	AEG41	Trifolium	Trifolium pratense	4	8	succession	1	7/5/2008 12:00:00 AM	
824	SchwaebischeAlb	AEG41	Trifolium	Trifolium repens	27	54	managed	1	7/5/2008 12:00:00 AM	2 weeks ago
825	SchwaebischeAlb	AEG41	Trifolium	Trifolium repens	4	8	succession	1	7/5/2008 12:00:00 AM	
826	SchwaebischeAlb	AEG41	Vicia	Vicia sepium	7	7	managed	1	7/5/2008 12:00:00 AM	2 weeks ago
827	SchwaebischeAlb	AEG41			0	0	realistic	1	7/5/2008 12:00:00 AM	
828	SchwaebischeAlb	AEG41	Galium	Galium mollugo agg.	60	7	managed	2	8/14/2008 12:00:00 AM	7/12/2008
829	SchwaebischeAlb	AEG41	Galium	Galium mollugo agg.	40	6	realistic	2	8/14/2008 12:00:00 AM	
830	SchwaebischeAlb	AEG41	Plantago	Plantago lanceolata	25	50	managed	2	8/14/2008 12:00:00 AM	7/12/2008
831	SchwaebischeAlb	AEG41	Plantago	Plantago lanceolata	10	20	realistic	2	8/14/2008 12:00:00 AM	
832	SchwaebischeAlb	AEG41	Plantago	Plantago lanceolata	1	2	succession	2	8/14/2008 12:00:00 AM	
833	SchwaebischeAlb	AEG41	Trifolium	Trifolium pratense	50	100	managed	2	8/14/2008 12:00:00 AM	7/12/2008
834	SchwaebischeAlb	AEG41	Trifolium	Trifolium pratense	90	180	realistic	2	8/14/2008 12:00:00 AM	
835	SchwaebischeAlb	AEG41	Trifolium	Trifolium pratense	14	28	succession	2	8/14/2008 12:00:00 AM	
836	SchwaebischeAlb	AEG41	Trifolium	Trifolium repens	5	10	managed	2	8/14/2008 12:00:00 AM	7/12/2008
837	SchwaebischeAlb	AEG41	Vicia	Vicia sepium	9	9	managed	2	8/14/2008 12:00:00 AM	7/12/2008
838	SchwaebischeAlb	AEG41	Vicia	Vicia sepium	3	3	succession	2	8/14/2008 12:00:00 AM	
839	SchwaebischeAlb	AEG42			0	0	realistic	3	9/11/2008 12:00:00 AM	
840	SchwaebischeAlb	AEG42	Anthriscus	Anthriscus sylvestris	100	11	realistic	1	6/29/2008 12:00:00 AM	
841	SchwaebischeAlb	AEG42	Anthriscus	Anthriscus sylvestris	220	24	succession	1	6/29/2008 12:00:00 AM	
842	SchwaebischeAlb	AEG42	Ranunculus	Ranunculus acris	46	46	managed	1	6/29/2008 12:00:00 AM	
843	SchwaebischeAlb	AEG42	Ranunculus	Ranunculus acris	12	12	realistic	1	6/29/2008 12:00:00 AM	
844	SchwaebischeAlb	AEG42	Ranunculus	Ranunculus acris	23	23	succession	1	6/29/2008 12:00:00 AM	
845	SchwaebischeAlb	AEG42	Trifolium	Trifolium pratense	5	10	managed	1	6/29/2008 12:00:00 AM	
846	SchwaebischeAlb	AEG42	Trifolium	Trifolium pratense	5	10	realistic	1	6/29/2008 12:00:00 AM	
847	SchwaebischeAlb	AEG42	Trifolium	Trifolium pratense	8	16	succession	1	6/29/2008 12:00:00 AM	
848	SchwaebischeAlb	AEG42	Trifolium	Trifolium repens	15	30	managed	1	6/29/2008 12:00:00 AM	
849	SchwaebischeAlb	AEG42	Trifolium	Trifolium repens	15	30	realistic	1	6/29/2008 12:00:00 AM	
850	SchwaebischeAlb	AEG42	Trifolium	Trifolium repens	10	20	succession	1	6/29/2008 12:00:00 AM	
851	SchwaebischeAlb	AEG42	Galium	Galium mollugo agg.	4000	444	managed	2	8/14/2008 12:00:00 AM	7/1/2008
852	SchwaebischeAlb	AEG42	Galium	Galium mollugo agg.	65	7	succession	2	8/14/2008 12:00:00 AM	
853	SchwaebischeAlb	AEG42	Geranium	Geranium pratense	3	12	managed	2	8/14/2008 12:00:00 AM	7/1/2008
854	SchwaebischeAlb	AEG42	Geranium	Geranium pratense	1	4	succession	2	8/14/2008 12:00:00 AM	
855	SchwaebischeAlb	AEG42	Heracleum	Heracleum sphondylium	50	6	managed	2	8/14/2008 12:00:00 AM	7/1/2008
856	SchwaebischeAlb	AEG42	Pimpinella	Pimpinella major	50	6	managed	2	8/14/2008 12:00:00 AM	7/1/2008
857	SchwaebischeAlb	AEG42	Plantago	Plantago lanceolata	7	14	managed	2	8/14/2008 12:00:00 AM	7/1/2008
858	SchwaebischeAlb	AEG42	Plantago	Plantago lanceolata	12	24	realistic	2	8/14/2008 12:00:00 AM	
859	SchwaebischeAlb	AEG42	Plantago	Plantago lanceolata	5	10	succession	2	8/14/2008 12:00:00 AM	
860	SchwaebischeAlb	AEG42	Ranunculus	Ranunculus acris	11	11	managed	2	8/14/2008 12:00:00 AM	7/1/2008
861	SchwaebischeAlb	AEG42	Ranunculus	Ranunculus acris	50	50	realistic	2	8/14/2008 12:00:00 AM	
862	SchwaebischeAlb	AEG42	Ranunculus	Ranunculus acris	8	8	succession	2	8/14/2008 12:00:00 AM	
863	SchwaebischeAlb	AEG42	Trifolium	Trifolium pratense	89	178	managed	2	8/14/2008 12:00:00 AM	7/1/2008
864	SchwaebischeAlb	AEG42	Trifolium	Trifolium pratense	26	52	realistic	2	8/14/2008 12:00:00 AM	
865	SchwaebischeAlb	AEG42	Trifolium	Trifolium pratense	8	16	succession	2	8/14/2008 12:00:00 AM	
866	SchwaebischeAlb	AEG42	Trifolium	Trifolium repens	4	8	realistic	2	8/14/2008 12:00:00 AM	
867	SchwaebischeAlb	AEG42	Galium	Galium mollugo agg.	80	9	succession	3	9/11/2008 12:00:00 AM	
868	SchwaebischeAlb	AEG42	Pimpinella	Pimpinella major	30	3	managed	3	9/11/2008 12:00:00 AM	8/14/2008
869	SchwaebischeAlb	AEG42	Plantago	Plantago lanceolata	3	6	managed	3	9/11/2008 12:00:00 AM	8/14/2008
870	SchwaebischeAlb	AEG42	Trifolium	Trifolium pratense	15	30	managed	3	9/11/2008 12:00:00 AM	8/14/2008
871	SchwaebischeAlb	AEG42	Trifolium	Trifolium pratense	5	10	succession	3	9/11/2008 12:00:00 AM	
872	SchwaebischeAlb	AEG46	Geranium	Geranium pratense	6	24	succession	1	7/1/2008 12:00:00 AM	
873	SchwaebischeAlb	AEG46	Lamium	Lamium album	10	10	succession	1	7/1/2008 12:00:00 AM	
874	SchwaebischeAlb	AEG46	Ranunculus	Ranunculus acris	16	16	managed	1	7/1/2008 12:00:00 AM	
875	SchwaebischeAlb	AEG46	Ranunculus	Ranunculus acris	1	1	realistic	1	7/1/2008 12:00:00 AM	
876	SchwaebischeAlb	AEG46	Ranunculus	Ranunculus acris	10	10	succession	1	7/1/2008 12:00:00 AM	
877	SchwaebischeAlb	AEG46	Stellaria	Stellaria graminea	5	1	managed	1	7/1/2008 12:00:00 AM	
878	SchwaebischeAlb	AEG46	Stellaria	Stellaria graminea	2	1	succession	1	7/1/2008 12:00:00 AM	
879	SchwaebischeAlb	AEG46	Trifolium	Trifolium repens	1	2	realistic	1	7/1/2008 12:00:00 AM	
880	SchwaebischeAlb	AEG46	Veronica	Veronica chamaedrys	3	1	succession	1	7/1/2008 12:00:00 AM	
881	SchwaebischeAlb	AEG46	Vicia	Vicia sepium	8	8	managed	1	7/1/2008 12:00:00 AM	
882	SchwaebischeAlb	AEG46	Achillea	Achillea millefolium	10	2	realistic	2	8/7/2008 12:00:00 AM	
883	SchwaebischeAlb	AEG46	Achillea	Achillea millefolium	1350	225	succession	2	8/7/2008 12:00:00 AM	
884	SchwaebischeAlb	AEG46	Geranium	Geranium pratense	1	4	succession	2	8/7/2008 12:00:00 AM	
885	SchwaebischeAlb	AEG46	Ranunculus	Ranunculus acris	2	2	managed	2	8/7/2008 12:00:00 AM	7/2/2008
886	SchwaebischeAlb	AEG46	Ranunculus	Ranunculus acris	4	4	realistic	2	8/7/2008 12:00:00 AM	
887	SchwaebischeAlb	AEG46	Ranunculus	Ranunculus acris	1	1	succession	2	8/7/2008 12:00:00 AM	
888	SchwaebischeAlb	AEG46	Stellaria	Stellaria graminea	6	2	succession	2	8/7/2008 12:00:00 AM	
889	SchwaebischeAlb	AEG46	Trifolium	Trifolium pratense	2	4	managed	2	8/7/2008 12:00:00 AM	7/2/2008
890	SchwaebischeAlb	AEG46	Vicia	Vicia sepium	3	3	managed	2	8/7/2008 12:00:00 AM	7/2/2008
891	SchwaebischeAlb	AEG46	Geranium		8	32	managed	2	8/7/2008 12:00:00 AM	7/2/2008
892	SchwaebischeAlb	AEG47	Anthemis	Anthemis arvensis	30	90	managed	1	7/1/2008 12:00:00 AM	
893	SchwaebischeAlb	AEG47	Anthemis	Anthemis arvensis	2	6	realistic	1	7/1/2008 12:00:00 AM	
894	SchwaebischeAlb	AEG47	Anthemis	Anthemis arvensis	6	18	succession	1	7/1/2008 12:00:00 AM	
895	SchwaebischeAlb	AEG47	Asperula	Asperula cynanchica	410	51	managed	1	7/1/2008 12:00:00 AM	
896	SchwaebischeAlb	AEG47	Asperula	Asperula cynanchica	160	20	realistic	1	7/1/2008 12:00:00 AM	
897	SchwaebischeAlb	AEG47	Asperula	Asperula cynanchica	580	73	succession	1	7/1/2008 12:00:00 AM	
898	SchwaebischeAlb	AEG47	Galium	Galium verum	300	900	managed	1	7/1/2008 12:00:00 AM	
899	SchwaebischeAlb	AEG47	Galium	Galium verum	15	2	succession	1	7/1/2008 12:00:00 AM	
900	SchwaebischeAlb	AEG47	Hieracium	Hieracium pilosella	4	8	managed	1	7/1/2008 12:00:00 AM	
901	SchwaebischeAlb	AEG47	Hieracium	Hieracium pilosella	5	10	realistic	1	7/1/2008 12:00:00 AM	
902	SchwaebischeAlb	AEG47	Hieracium	Hieracium pilosella	8	16	succession	1	7/1/2008 12:00:00 AM	
903	SchwaebischeAlb	AEG47	Hypericum	Hypericum perforatum	8	4	succession	1	7/1/2008 12:00:00 AM	
904	SchwaebischeAlb	AEG47	Hypochaeris	Hypochaeris radicata	8	16	managed	1	7/1/2008 12:00:00 AM	
905	SchwaebischeAlb	AEG47	Hypochaeris	Hypochaeris radicata	9	18	realistic	1	7/1/2008 12:00:00 AM	
906	SchwaebischeAlb	AEG47	Hypochaeris	Hypochaeris radicata	12	24	succession	1	7/1/2008 12:00:00 AM	
907	SchwaebischeAlb	AEG47	Lotus	Lotus corniculatus	80	80	managed	1	7/1/2008 12:00:00 AM	
908	SchwaebischeAlb	AEG47	Lotus	Lotus corniculatus	90	90	realistic	1	7/1/2008 12:00:00 AM	
909	SchwaebischeAlb	AEG47	Lotus	Lotus corniculatus	40	40	succession	1	7/1/2008 12:00:00 AM	
910	SchwaebischeAlb	AEG47	Prunella	Prunella grandiflora	50	25	managed	1	7/1/2008 12:00:00 AM	
911	SchwaebischeAlb	AEG47	Prunella	Prunella grandiflora	15	8	realistic	1	7/1/2008 12:00:00 AM	
912	SchwaebischeAlb	AEG47	Prunella	Prunella grandiflora	65	33	succession	1	7/1/2008 12:00:00 AM	
913	SchwaebischeAlb	AEG47	Ranunculus	Ranunculus repens	7	7	managed	1	7/1/2008 12:00:00 AM	
914	SchwaebischeAlb	AEG47	Ranunculus	Ranunculus repens	4	4	realistic	1	7/1/2008 12:00:00 AM	
915	SchwaebischeAlb	AEG47	Ranunculus	Ranunculus repens	9	9	succession	1	7/1/2008 12:00:00 AM	
916	SchwaebischeAlb	AEG47	Thymus	Thymus pulegioides	425	53	managed	1	7/1/2008 12:00:00 AM	
917	SchwaebischeAlb	AEG47	Thymus	Thymus pulegioides	245	31	realistic	1	7/1/2008 12:00:00 AM	
918	SchwaebischeAlb	AEG47	Thymus	Thymus pulegioides	330	54	succession	1	7/1/2008 12:00:00 AM	
919	SchwaebischeAlb	AEG47	Trifolium	Trifolium pratense	23	46	managed	1	7/1/2008 12:00:00 AM	
920	SchwaebischeAlb	AEG47	Trifolium	Trifolium pratense	20	40	realistic	1	7/1/2008 12:00:00 AM	
921	SchwaebischeAlb	AEG47	Trifolium	Trifolium pratense	19	38	succession	1	7/1/2008 12:00:00 AM	
922	SchwaebischeAlb	AEG47	Trifolium	Trifolium repens	3	6	managed	1	7/1/2008 12:00:00 AM	
923	SchwaebischeAlb	AEG47	Trifolium	Trifolium repens	3	6	succession	1	7/1/2008 12:00:00 AM	
924	SchwaebischeAlb	AEG47	Asperula	Asperula cynanchica	112	14	managed	2	8/17/2008 12:00:00 AM	7/2/2008
925	SchwaebischeAlb	AEG47	Asperula	Asperula cynanchica	105	13	realistic	2	8/17/2008 12:00:00 AM	
926	SchwaebischeAlb	AEG47	Asperula	Asperula cynanchica	140	18	succession	2	8/17/2008 12:00:00 AM	
927	SchwaebischeAlb	AEG47	Campanula	Campanula rotundifolia	2	3	managed	2	8/17/2008 12:00:00 AM	7/2/2008
928	SchwaebischeAlb	AEG47	Campanula	Campanula rotundifolia	7	11	realistic	2	8/17/2008 12:00:00 AM	
929	SchwaebischeAlb	AEG47	Campanula	Campanula rotundifolia	21	32	succession	2	8/17/2008 12:00:00 AM	
930	SchwaebischeAlb	AEG47	Centaurea	Centaurea jacea	7	28	managed	2	8/17/2008 12:00:00 AM	7/2/2008
931	SchwaebischeAlb	AEG47	Centaurea	Centaurea jacea	5	20	succession	2	8/17/2008 12:00:00 AM	
932	SchwaebischeAlb	AEG47	Cirsium	Cirsium acaule	38	114	managed	2	8/17/2008 12:00:00 AM	7/2/2008
933	SchwaebischeAlb	AEG47	Cirsium	Cirsium acaule	6	18	realistic	2	8/17/2008 12:00:00 AM	
934	SchwaebischeAlb	AEG47	Cirsium	Cirsium acaule	1	3	succession	2	8/17/2008 12:00:00 AM	
935	SchwaebischeAlb	AEG47	Daucus	Daucus carota	1500	125	managed	2	8/17/2008 12:00:00 AM	7/2/2008
936	SchwaebischeAlb	AEG47	Daucus	Daucus carota	1000	125	realistic	2	8/17/2008 12:00:00 AM	
937	SchwaebischeAlb	AEG47	Daucus	Daucus carota	10000	833	succession	2	8/17/2008 12:00:00 AM	
938	SchwaebischeAlb	AEG47	Hieracium	Hieracium pilosella	1	2	managed	2	8/17/2008 12:00:00 AM	7/2/2008
939	SchwaebischeAlb	AEG47	Hieracium	Hieracium pilosella	1	2	realistic	2	8/17/2008 12:00:00 AM	
940	SchwaebischeAlb	AEG47	Lotus	Lotus corniculatus	27	27	managed	2	8/17/2008 12:00:00 AM	7/2/2008
941	SchwaebischeAlb	AEG47	Lotus	Lotus corniculatus	36	36	realistic	2	8/17/2008 12:00:00 AM	
942	SchwaebischeAlb	AEG47	Lotus	Lotus corniculatus	10	10	succession	2	8/17/2008 12:00:00 AM	
943	SchwaebischeAlb	AEG47	Prunella	Prunella grandiflora	4	2	managed	2	8/17/2008 12:00:00 AM	7/2/2008
944	SchwaebischeAlb	AEG47	Prunella	Prunella grandiflora	17	9	succession	2	8/17/2008 12:00:00 AM	
945	SchwaebischeAlb	AEG47	Rhinanthus	Rhinanthus cf. glacialis	110	110	realistic	2	8/17/2008 12:00:00 AM	
946	SchwaebischeAlb	AEG47	Scabiosa	Scabiosa columbaria	5	20	managed	2	8/17/2008 12:00:00 AM	7/2/2008
947	SchwaebischeAlb	AEG47	Scabiosa	Scabiosa columbaria	6	24	realistic	2	8/17/2008 12:00:00 AM	
948	SchwaebischeAlb	AEG47	Scabiosa	Scabiosa columbaria	20	80	succession	2	8/17/2008 12:00:00 AM	
949	SchwaebischeAlb	AEG47	Thymus	Thymus pulegioides	95	12	managed	2	8/17/2008 12:00:00 AM	7/2/2008
950	SchwaebischeAlb	AEG47	Thymus	Thymus pulegioides	15	2	realistic	2	8/17/2008 12:00:00 AM	
951	SchwaebischeAlb	AEG47	Thymus	Thymus pulegioides	5	1	succession	2	8/17/2008 12:00:00 AM	
952	SchwaebischeAlb	AEG47	Trifolium	Trifolium pratense	6	12	managed	2	8/17/2008 12:00:00 AM	7/2/2008
953	SchwaebischeAlb	AEG47	Trifolium	Trifolium pratense	2	4	realistic	2	8/17/2008 12:00:00 AM	
954	SchwaebischeAlb	AEG47	Trifolium	Trifolium pratense	4	8	succession	2	8/17/2008 12:00:00 AM	
955	SchwaebischeAlb	AEG47	Campanula	Campanula rotundifolia	2	3	succession	3	9/9/2008 12:00:00 AM	
956	SchwaebischeAlb	AEG47	Cirsium	Cirsium acaule	9	27	managed	3	9/9/2008 12:00:00 AM	8/18/2008
957	SchwaebischeAlb	AEG47	Cirsium	Cirsium acaule	6	18	realistic	3	9/9/2008 12:00:00 AM	
958	SchwaebischeAlb	AEG47	Cirsium	Cirsium acaule	1	3	succession	3	9/9/2008 12:00:00 AM	
959	SchwaebischeAlb	AEG47	Daucus	Daucus carota	250	21	succession	3	9/9/2008 12:00:00 AM	
960	SchwaebischeAlb	AEG47	Hypochaeris	Hypochaeris radicata	4	8	managed	3	9/9/2008 12:00:00 AM	8/18/2008
961	SchwaebischeAlb	AEG47	Pimpinella	Pimpinella saxifraga	160	13	realistic	3	9/9/2008 12:00:00 AM	
962	SchwaebischeAlb	AEG47	Pimpinella	Pimpinella saxifraga	50	4	succession	3	9/9/2008 12:00:00 AM	
963	SchwaebischeAlb	AEG47	Prunella	Prunella grandiflora	3	2	managed	3	9/9/2008 12:00:00 AM	8/18/2008
964	SchwaebischeAlb	AEG47	Prunella	Prunella grandiflora	4	2	realistic	3	9/9/2008 12:00:00 AM	
965	SchwaebischeAlb	AEG47	Prunella	Prunella grandiflora	6	3	succession	3	9/9/2008 12:00:00 AM	
966	SchwaebischeAlb	AEG47	Scabiosa	Scabiosa columbaria	2	8	managed	3	9/9/2008 12:00:00 AM	8/18/2008
967	SchwaebischeAlb	AEG47	Scabiosa	Scabiosa columbaria	3	12	succession	3	9/9/2008 12:00:00 AM	
968	SchwaebischeAlb	AEG47	Thymus	Thymus pulegioides	15	2	managed	3	9/9/2008 12:00:00 AM	8/18/2008
969	SchwaebischeAlb	AEG47	Thymus	Thymus pulegioides	4	1	realistic	3	9/9/2008 12:00:00 AM	
970	SchwaebischeAlb	AEG47	Trifolium	Trifolium pratense	1	2	managed	3	9/9/2008 12:00:00 AM	8/18/2008
971	SchwaebischeAlb	AEG48	Anthyllis	Anthyllis vulneraria	600	150	succession	1	6/30/2008 12:00:00 AM	
972	SchwaebischeAlb	AEG48	Asperula	Asperula cynanchica	380	48	managed	1	6/30/2008 12:00:00 AM	
973	SchwaebischeAlb	AEG48	Asperula	Asperula cynanchica	300	38	realistic	1	6/30/2008 12:00:00 AM	
974	SchwaebischeAlb	AEG48	Asperula	Asperula cynanchica	500	63	succession	1	6/30/2008 12:00:00 AM	
975	SchwaebischeAlb	AEG48	Galium	Galium verum	300	33	managed	1	6/30/2008 12:00:00 AM	
976	SchwaebischeAlb	AEG48	Galium	Galium verum	2050	228	realistic	1	6/30/2008 12:00:00 AM	
977	SchwaebischeAlb	AEG48	Galium	Galium verum	800	89	succession	1	6/30/2008 12:00:00 AM	
978	SchwaebischeAlb	AEG48	Hieracium	Hieracium pilosella	7	14	managed	1	6/30/2008 12:00:00 AM	
979	SchwaebischeAlb	AEG48	Hieracium	Hieracium pilosella	8	16	realistic	1	6/30/2008 12:00:00 AM	
980	SchwaebischeAlb	AEG48	Hieracium	Hieracium pilosella	4	8	succession	1	6/30/2008 12:00:00 AM	
981	SchwaebischeAlb	AEG48	Hypochaeris	Hypochaeris radicata	10	20	succession	1	6/30/2008 12:00:00 AM	
982	SchwaebischeAlb	AEG48	Leucanthemum	Leucanthemum vulgare agg.	5	20	managed	1	6/30/2008 12:00:00 AM	
983	SchwaebischeAlb	AEG48	Leucanthemum	Leucanthemum vulgare agg.	2	8	realistic	1	6/30/2008 12:00:00 AM	
